iter	Passed	Remaining
646	1311	715
647	1312	712
648	1313	710
649	1314	707
650	1315	705
651	1316	702
652	1319	700
653	1320	698
654	1321	696
655	1322	693
656	1323	691
657	1324	688
658	1325	685
659	1326	683
660	1327	680
661	1328	678
662	1329	675
663	1331	673
664	1332	671
665	1334	669
666	1335	666
667	1336	664
668	1337	661
669	1339	659
670	1340	657
671	1341	654
672	1342	652
673	1343	649
674	1344	647
675	1345	644
676	1346	642
677	1349	640
678	1350	638
679	1351	635
680	1352	633
681	1353	630
682	1354	628
683	1355	626
684	1356	623
685	1357	621
686	1358	618
687	1359	616
688	1360	614
689	1361	611
690	1364	610
691	1365	607
692	1366	605
693	1367	603
694	1368	600
695	1369	598
696	1370	595
697	1371	593
698	1372	591
699	1373	588
700	1374	586
701	1376	584
702	1377	581
703	1379	579
704	1380	577
705	1381	575
706	1382	572
707	1383	570
708	1384	568
709	1385	565
710	1386	563
711	1387	561
712	1388	558
713	1389	556
714	1390	554
715	1391	551
716	1393	550
717	1394	547
718	1395	545
719	1396	543
720	1398	541
721	1399	538
722	1400	536
723	1401	534
724	1402	531
725	1403	529
726	1404	527
727	1405	525
728	1406	522
729	1408	520
730	1409	518
731	1410	516
732	1411	514
733	1412	512
734	1414	509
735	1414	507
736	1415	505
737	1417	503
738	1418	500
739	1419	498
740	1420	496
741	1421	494
742	1423	492
743	1424	490
744	1425	488
745	1427	485
746	1428	483
747	1429	481
748	1430	479
749	1431	477
750	1432	475
751	1433	472
752	1435	470
753	1436	468
754	1439	467
755	1440	464
756	1441	462
757	1442	460
758	1443	458
759	1444	456
760	1446	454
761	1447	451
762	1448	449
763	1449	447
764	1450	445
765	1451	443
766	1453	441
767	1454	439
768	1455	437
769	1457	435
770	1458	433
771	1459	431
772	1460	429
773	1462	426
774	1463	424
775	1464	422
776	1465	420
777	1467	418
778	1468	416
779	1469	414
780	1470	412
781	1471	410
782	1472	408
783	1474	406
784	1475	404
785	1476	401
786	1477	399
787	1478	397
788	1479	395
789	1480	393
790	1482	391
791	1484	389
792	1485	387
793	1486	385
794	1487	383
795	1488	381
796	1489	379
797	1490	377
798	1491	375
799	1492	373
800	1493	371
801	1494	369
802	1495	366
803	1498	365
804	1499	363
805	1500	361
806	1501	359
807	1502	357
808	1503	355
809	1504	353
810	1506	350
811	1506	348
812	1507	346
813	1509	344
814	1510	342
815	1512	341
816	1514	339
817	1515	337
818	1516	335
819	1518	333
820	1519	331
821	1520	329
822	1521	327
823	1522	325
824	1523	323
825	1524	321
826	1525	319
827	1527	317
828	1529	315
829	1530	313
830	1531	311
831	1533	309
832	1534	307
833	1535	305
834	1536	303
835	1537	301
836	1538	299
837	1539	297
838	1541	295
839	1543	293
840	1544	292
841	1545	290
842	1547	288
843	1548	286
844	1549	284
845	1551	282
846	1552	280
847	1554	278
848	1558	277
849	1561	275
850	1563	273
851	1564	271
852	1565	269
853	1568	268
854	1570	266
855	1571	264
856	1573	262
857	1574	260
858	1575	258
859	1576	256
860	1578	254
861	1579	252
862	1580	250
863	1581	248
864	1588	247
865	1589	246
866	1590	244
867	1592	242
868	1593	240
869	1594	238
870	1595	236
871	1596	234
872	1600	232
873	1601	230
874	1603	229
875	1604	227
876	1606	225
877	1607	223
878	1608	221
879	1610	219
880	1611	217
881	1617	216
882	1619	214
883	1621	212
884	1624	211
885	1625	209
886	1627	207
887	1630	205
888	1631	203
889	1632	201
890	1633	199
891	1634	197
892	1635	195
893	1636	194
894	1637	192
895	1638	190
896	1639	188
897	1640	186
898	1644	184
899	1646	182
900	1648	181
901	1650	179
902	1651	177
903	1653	175
904	1654	173
905	1655	171
906	1657	169
907	1661	168
908	1663	166
909	1664	164
910	1665	162
911	1666	160
912	1668	158
913	1668	157
914	1670	155
915	1671	153
916	1673	151
917	1675	149
918	1676	147
919	1678	145
920	1679	144
921	1680	142
922	1681	140
923	1682	138
924	1683	136
925	1684	134
926	1685	132
927	1686	130
928	1689	129
929	1690	127
930	1692	125
931	1693	123
932	1694	121
933	1696	119
934	1697	117
935	1698	116
936	1699	114
937	1700	112
938	1701	110
939	1704	108
940	1706	107
941	1708	105
942	1709	103
943	1710	101
944	1712	99
945	1713	97
946	1714	95
947	1715	94
948	1716	92
949	1719	90
950	1721	88
951	1722	86
952	1723	85
953	1725	83
954	1726	81
955	1727	79
956	1728	77
957	1729	75
958	1730	73
959	1732	72
960	1733	70
961	1735	68
962	1736	66
963	1738	64
964	1739	63
965	1740	61
966	1741	59
967	1742	57
968	1743	55
969	1744	53
970	1746	52
971	1748	50
972	1749	48
973	1750	46
974	1751	44
975	1753	43
976	1754	41
977	1755	39
978	1756	37
979	1757	35
980	1758	34
981	1759	32
982	1760	30
983	1762	28
984	1764	26
985	1765	25
986	1766	23
987	1767	21
988	1768	19
989	1769	17
990	1770	16
991	1771	14
992	1772	12
993	1773	10
994	1774	8
995	1775	7
996	1779	5
997	1780	3
998	1782	1
999	1783	0
